Variation points, Variation point, Configurations, Defective configs., Real prob. defect. configs., Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Combinations, Variant combination, NofFeatures, Configs. combi., Ratio, Defect. configs. combi., Prob. defect. configs. combi., Simulations, Runs, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs.
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'InternationalizationSupport']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Docker']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'ClusteredSession']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'InternationalizationSupport']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'Docker']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['ClusteredSession', 'InternationalizationSupport']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['ClusteredSession', 'Docker']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['InternationalizationSupport', 'Docker']", 2, 4, 0.0002, 2, 0.5, 1, 30, 1.0, 0.5667, 0.504, 1.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets']", 3, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.4333, 0.5683, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass']", 3, 220, 0.0084, 41, 0.1864, 3, 30, 1.0, 0.7333, 0.7849, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'ClusteredSession']", 3, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4667, 0.7303, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'InternationalizationSupport']", 3, 220, 0.0084, 42, 0.1909, 3, 30, 0.0, 0.4667, 0.6288, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Docker']", 3, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.9, 0.7589, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'ClusteredSession']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'ClusteredSession', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'ClusteredSession', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Libsass']", 3, 558, 0.0213, 182, 0.3262, 6, 30, 3.0, 2.2667, 1.0807, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'ClusteredSession']", 3, 558, 0.0213, 184, 0.3297, 6, 30, 2.0, 1.7333, 0.8683, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'InternationalizationSupport']", 3, 558, 0.0213, 185, 0.3315, 6, 30, 2.0, 1.9, 1.0619, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Docker']", 3, 558, 0.0213, 265, 0.4749, 6, 30, 3.0, 3.1333, 1.432, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass', 'ClusteredSession']", 3, 558, 0.0213, 186, 0.3333, 6, 30, 2.0, 1.8333, 0.9855, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass', 'InternationalizationSupport']", 3, 558, 0.0213, 185, 0.3315, 6, 30, 2.0, 1.9333, 0.9803, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass', 'Docker']", 3, 558, 0.0213, 260, 0.4659, 6, 30, 2.0, 2.6, 1.4762, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'ClusteredSession', 'InternationalizationSupport']", 3, 558, 0.0213, 180, 0.3226, 6, 30, 2.0, 1.9, 1.2415, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'ClusteredSession', 'Docker']", 3, 558, 0.0213, 261, 0.4677, 6, 30, 3.0, 2.6333, 1.4016, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'InternationalizationSupport', 'Docker']", 3, 894, 0.034, 421, 0.4709, 9, 30, 4.0, 4.3333, 1.5388, 0.4444
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass', 'ClusteredSession']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'ClusteredSession', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'ClusteredSession', 'InternationalizationSupport']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'ClusteredSession', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['ClusteredSession', 'InternationalizationSupport', 'Docker']", 3, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.5, 0.5667, 0.6261, 0.1667
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'ClusteredSession']", 4, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4333, 0.6261, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'InternationalizationSupport']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.4333, 0.6261, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Docker']", 4, 220, 0.0084, 61, 0.2773, 3, 30, 1.0, 0.9, 0.8449, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass', 'ClusteredSession']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.6333, 0.8087, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass', 'InternationalizationSupport']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.0, 0.5333, 0.7303, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass', 'Docker']", 4, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.8333, 0.8743, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'ClusteredSession', 'InternationalizationSupport']", 4, 220, 0.0084, 40, 0.1818, 3, 30, 0.5, 0.6, 0.6747, 0.1667
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'ClusteredSession', 'Docker']", 4, 220, 0.0084, 61, 0.2773, 3, 30, 1.0, 1, 0.8305, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'InternationalizationSupport', 'Docker']", 4, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.7, 0.596, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'ClusteredSession']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'ClusteredSession', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Libsass', 'ClusteredSession']", 4, 558, 0.0213, 183, 0.328, 6, 30, 2.0, 2.2, 1.2704, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 4, 558, 0.0213, 183, 0.328, 6, 30, 2.0, 2, 1.0505, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Libsass', 'Docker']", 4, 558, 0.0213, 260, 0.4659, 6, 30, 3.0, 2.9667, 1.2452, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 4, 558, 0.0213, 185, 0.3315, 6, 30, 2.0, 1.7667, 1.1043, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'ClusteredSession', 'Docker']", 4, 558, 0.0213, 266, 0.4767, 6, 30, 3.0, 3.2667, 1.1121, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'InternationalizationSupport', 'Docker']", 4, 558, 0.0213, 261, 0.4677, 6, 30, 3.0, 2.9333, 1.3629, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 4, 558, 0.0213, 183, 0.328, 6, 30, 2.0, 1.8667, 1.1958, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass', 'ClusteredSession', 'Docker']", 4, 558, 0.0213, 267, 0.4785, 6, 30, 3.0, 2.5667, 1.3047, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass', 'InternationalizationSupport', 'Docker']", 4, 558, 0.0213, 264, 0.4731, 6, 30, 3.0, 2.9, 1.0619, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 558, 0.0213, 259, 0.4642, 6, 30, 3.0, 2.9333, 1.1427, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass', 'ClusteredSession', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 4, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass', 'ClusteredSession']", 5, 220, 0.0084, 41, 0.1864, 3, 30, 1.0, 0.7333, 0.7397, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport']", 5, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4667, 0.6288, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'Libsass', 'Docker']", 5, 220, 0.0084, 58, 0.2636, 3, 30, 1.0, 0.7, 0.7497, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 5, 220, 0.0084, 42, 0.1909, 3, 30, 0.0, 0.4667, 0.5713, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'ClusteredSession', 'Docker']", 5, 220, 0.0084, 62, 0.2818, 3, 30, 1.0, 0.8667, 0.8604, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'InternationalizationSupport', 'Docker']", 5, 220, 0.0084, 58, 0.2636, 3, 30, 1.0, 0.7, 0.7022, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 5, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.5333, 0.6288, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass', 'ClusteredSession', 'Docker']", 5, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.9, 0.803, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'Libsass', 'InternationalizationSupport', 'Docker']", 5, 220, 0.0084, 59, 0.2682, 3, 30, 1.0, 0.9333, 0.8683, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 5, 220, 0.0084, 61, 0.2773, 3, 30, 1.0, 1, 0.8305, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'Docker']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport', 'Docker']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 5, 558, 0.0213, 184, 0.3297, 6, 30, 1.5, 1.7, 1.0875, 0.25
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'Docker']", 5, 558, 0.0213, 267, 0.4785, 6, 30, 3.0, 3.0667, 1.1725, 0.5
